year,temp_avg,temp_min_daily,temp_max_daily,temp_avg_month_max,temp_avg_month_min,prec_total,prec_max_daily
1901,8.6,-19.8,36.9,13.2,4.1,784,37.9
1902,8.7,-13.8,34,13.1,4.3,578.4,27
1903,9.5,-11.6,33,13.8,5.1,669.5,26.1
1904,9.6,-11.7,35.2,14.2,5.1,750.5,45.9
1905,9.3,-17.8,32.9,13.6,4.9,594.2,36.1
1906,9.3,-13.6,31.1,13.8,4.9,826,47.5
1907,9,-16.2,31.3,13.4,4.6,674.4,24.5
1908,8.6,-17,31.2,13.1,4.2,667.8,26.6
1909,8.3,-16.3,30.8,12.7,3.9,625.9,26.6
1910,9.3,-12.5,29.3,13.5,5.2,853,29.9
1911,10,-11.9,36.2,14.6,5.3,563.5,31.4
1912,9,-18.6,31.3,13.1,4.9,667.4,37.7
1913,9.6,-9,29.9,13.7,5.5,686.9,46.7
1914,9.4,-14.1,31,13.7,5.1,764.7,30.4
1915,9.3,-12.9,31,13.6,5,656,16.2
1916,9.7,-8,29.8,13.7,5.8,725.2,27
1917,8.5,-17.6,32.3,12.5,4.4,675.7,26.2
1918,9.5,-15.6,36,13.5,5.6,657,30.2
1919,7.9,-14.5,31,12.6,3.2,792.3,26
1920,9,-10.5,30,13.6,4.4,850.3,43
1921,9.8,-11.5,35,14.4,5.1,454.6,20
1922,8.4,-18,31.4,12,4.8,921.8,38.2
1923,9.2,-14,34.3,12.7,5.6,789.5,30.6
1924,8.4,-11,32.8,12.2,4.6,698.6,27.6
1925,8.9,-17,32.8,12.8,5.1,724.6,21.2
1926,9.7,-11.5,29.5,13.7,5.7,603.6,32.5
1927,9.2,-16.5,29,12.9,5.6,798.9,28.7
1928,9.7,-8.4,32.8,13.7,5.7,670.5,25.6
1929,8.8,-22.9,31.6,13.2,4.4,567.9,59
1930,10.1,-7.5,31.3,13.9,6.3,857.9,30
1931,8.7,-12.6,29.5,12.7,4.7,770.8,22.2
1932,9.1,-15.5,32.1,13,5.2,761,30.1
1933,8.8,-14.5,31.9,13,4.5,578.9,26
1934,10.4,-14.2,30.1,14.5,6.2,482.1,23.3
1935,9.8,-11.4,31.5,13.6,6,733.9,35
1936,9.7,-12.3,30,13.4,6.1,834.9,53.5
1937,9.9,-10,34.5,14.3,5.5,747.4,29.7
1938,9.6,-18.4,33.2,14.3,4.9,682.3,43.4
1939,9.5,-22.2,32,13.6,5.4,963.3,28.6
